epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr
1,0.002,0.253624,0.499089,0.252366,0.49988,0.495977,0.503757
2,0.001789,0.251692,0.499968,0.251028,0.50148,0.208015,0.792991
3,0.001578,0.250792,0.499527,0.250564,0.49754,0.743965,0.252756
4,0.001367,0.250423,0.49959,0.250301,0.49843,0.965565,0.034405
5,0.001156,0.250264,0.500744,0.250205,0.49809,0.319427,0.675564
6,0.000944,0.250192,0.500336,0.250175,0.49944,0.877049,0.124345
7,0.000733,0.250147,0.500476,0.250137,0.49822,0.548652,0.448123
8,0.000522,0.250117,0.501137,0.250106,0.49916,0.400879,0.596787
9,0.000311,0.250097,0.5014,0.250104,0.50089,0.525475,0.476469
10,0.0001,0.250079,0.502124,0.250105,0.49953,0.327594,0.670321
