epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr
1,0.002,0.253528,0.500247,0.252295,0.50216,0.80919,0.192577
2,0.001789,0.25164,0.500266,0.25098,0.50193,0.672595,0.329846
3,0.001578,0.250705,0.501152,0.250429,0.50124,0.822515,0.177294
4,0.001367,0.250323,0.501534,0.250226,0.50257,0.97578,0.025425
5,0.001156,0.250194,0.501447,0.250158,0.50193,0.990818,0.008977
6,0.000944,0.250135,0.500435,0.250098,0.50045,0.421515,0.580041
7,0.000733,0.250089,0.501569,0.250103,0.50183,0.760631,0.240877
8,0.000522,0.250064,0.502525,0.250113,0.50183,0.902185,0.098146
9,0.000311,0.25005,0.502621,0.250076,0.4995,0.670225,0.327355
10,0.0001,0.250023,0.505161,0.250093,0.50072,0.695461,0.30436
