epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr
1,0.002,0.253798,0.499761,0.252657,0.50133,0.342444,0.660789
2,0.001789,0.251926,0.500941,0.251297,0.49968,0.873088,0.124925
3,0.001578,0.250908,0.500319,0.250581,0.49668,0.497105,0.496253
4,0.001367,0.250429,0.501524,0.250307,0.49923,0.142723,0.857023
5,0.001156,0.250248,0.500564,0.250177,0.50187,0.78315,0.219575
6,0.000944,0.25015,0.500529,0.250149,0.50041,0.249012,0.752715
7,0.000733,0.250103,0.501508,0.250088,0.50148,0.958016,0.043298
8,0.000522,0.250071,0.501655,0.250095,0.49979,0.268956,0.731457
9,0.000311,0.250049,0.501891,0.250074,0.4997,0.745997,0.252515
10,0.0001,0.250024,0.504088,0.250098,0.5002,0.453005,0.547566
