epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.25119,0.499497,0.250813,0.49812,0.955327,0.04241,23.1
2,0.001789,0.250631,0.499706,0.250377,0.50064,0.076125,0.923765,23.3
3,0.001578,0.250342,0.499892,0.250197,0.50074,0.272146,0.728585,23.7
4,0.001367,0.250181,0.500242,0.250102,0.4985,0.204455,0.791582,23.2
5,0.001156,0.250115,0.499964,0.250069,0.50124,0.066409,0.934647,23.3
6,0.000944,0.250107,0.499707,0.250149,0.49918,0.961397,0.038477,23.2
7,0.000733,0.250121,0.499996,0.250089,0.50023,0.101527,0.897628,23.6
8,0.000522,0.250074,0.500417,0.250163,0.49819,0.159822,0.83545,23.3
9,0.000311,0.250054,0.500241,0.250036,0.50145,0.772467,0.231321,23.6
10,0.0001,0.250037,0.499989,0.250034,0.49932,0.349012,0.649135,23.3
11,0.002,0.250129,0.500785,0.250058,0.49827,0.153111,0.842299,23.2
12,0.001789,0.250094,0.500041,0.250088,0.50111,0.166173,0.834951,23.3
13,0.001578,0.250068,0.501129,0.25004,0.50075,0.078649,0.921469,23.4
14,0.001367,0.250043,0.500367,0.250037,0.50039,0.28645,0.71363,23.2
15,0.001156,0.250038,0.500123,0.250043,0.49916,0.209343,0.788028,23.2
16,0.000944,0.250026,0.500986,0.250021,0.49932,0.084178,0.913103,23.5
17,0.000733,0.250021,0.499789,0.25001,0.50044,0.925117,0.077153,23.3
18,0.000522,0.250012,0.500803,0.250024,0.49956,0.258203,0.740126,23.2
19,0.000311,0.250017,0.500196,0.250013,0.50082,0.0,1.0,23.5
20,0.0001,0.250015,0.5011,0.250012,0.50106,0.147282,0.85368,24.2
