epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.251251,0.499119,0.250783,0.49876,0.235113,0.765174,30.8
2,0.001789,0.250669,0.4997,0.250421,0.50229,0.667635,0.33521,31.8
3,0.001578,0.25039,0.500572,0.250322,0.49721,0.026323,0.973039,31.5
4,0.001367,0.250237,0.500282,0.250251,0.50261,1.0,0.0,32.2
5,0.001156,0.25018,0.501269,0.250133,0.50219,0.899206,0.101007,31.9
6,0.000944,0.250175,0.501602,0.250141,0.49791,0.321382,0.67629,31.9
7,0.000733,0.250132,0.502471,0.250125,0.502,0.802929,0.197913,31.8
8,0.000522,0.250109,0.502644,0.250125,0.49825,0.614711,0.380567,31.4
9,0.000311,0.250054,0.504952,0.25021,0.49589,0.34679,0.646555,31.7
10,0.0001,0.249985,0.508391,0.25028,0.49722,0.449892,0.545045,32.8
11,0.002,0.25021,0.501427,0.250214,0.50197,0.989972,0.008846,32.3
12,0.001789,0.250192,0.50127,0.250393,0.49524,0.227075,0.76622,32.2
13,0.001578,0.250154,0.502197,0.250144,0.49839,0.22216,0.777519,31.5
14,0.001367,0.25013,0.50202,0.250167,0.49825,0.054078,0.947084,31.7
15,0.001156,0.250107,0.502623,0.25015,0.49903,0.372456,0.626933,31.9
16,0.000944,0.250084,0.504596,0.250152,0.50049,0.417441,0.584411,31.4
17,0.000733,0.250081,0.505286,0.250113,0.50044,0.537693,0.462796,31.5
18,0.000522,0.250013,0.507576,0.250186,0.49742,0.380096,0.615975,31.5
19,0.000311,0.249929,0.51021,0.250419,0.49757,0.411174,0.584873,31.6
20,0.0001,0.249772,0.514627,0.250456,0.49841,0.452578,0.544723,31.4
