epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.251197,0.499696,0.250778,0.50048,0.453394,0.547634,27.7
2,0.001789,0.250628,0.500228,0.250524,0.49954,0.001879,0.997919,29.4
3,0.001578,0.250349,0.500595,0.250227,0.49992,0.88868,0.1106,29.0
4,0.001367,0.250223,0.499441,0.250172,0.49964,0.0,1.0,29.1
5,0.001156,0.25017,0.500008,0.250129,0.4994,0.395555,0.603394,29.1
6,0.000944,0.250168,0.500007,0.250192,0.49827,0.200576,0.796393,29.3
7,0.000733,0.250139,0.50105,0.250089,0.50137,0.947118,0.05498,32.5
8,0.000522,0.250107,0.502423,0.250094,0.49984,0.41654,0.58326,29.5
9,0.000311,0.250076,0.502904,0.250097,0.50174,0.518367,0.485089,29.1
10,0.0001,0.250053,0.504423,0.250071,0.5005,0.501679,0.49932,29.1
11,0.002,0.250154,0.500425,0.250138,0.49865,0.15317,0.844628,29.2
12,0.001789,0.250152,0.500072,0.250103,0.50036,1.0,0.0,29.5
13,0.001578,0.250102,0.500099,0.250077,0.49926,0.158386,0.840625,29.5
14,0.001367,0.250081,0.4998,0.250051,0.50005,0.073347,0.927368,29.4
15,0.001156,0.250071,0.50007,0.250195,0.50206,0.118994,0.885678,29.3
16,0.000944,0.250092,0.50019,0.250068,0.49993,0.990667,0.008486,29.7
17,0.000733,0.250046,0.500336,0.250069,0.50036,1.0,0.0,29.3
18,0.000522,0.250031,0.500821,0.250034,0.50096,0.881845,0.119526,29.3
19,0.000311,0.250025,0.501403,0.250025,0.50236,0.865237,0.13896,29.5
20,0.0001,0.249999,0.502546,0.250021,0.50208,0.904589,0.098991,29.6
