epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.251254,0.498329,0.25077,0.50111,0.20358,0.796659,21.8
2,0.001789,0.250626,0.499892,0.250408,0.50179,0.437702,0.565451,21.9
3,0.001578,0.25032,0.500289,0.25023,0.49954,0.612747,0.387087,21.9
4,0.001367,0.250184,0.500192,0.250134,0.49886,0.937331,0.063309,22.2
5,0.001156,0.250104,0.500197,0.250139,0.50165,0.00014,0.999821,22.0
6,0.000944,0.250083,0.500646,0.250064,0.50111,0.025084,0.973967,21.9
7,0.000733,0.250081,0.499845,0.250062,0.50105,0.168623,0.831264,21.9
8,0.000522,0.250053,0.49945,0.250037,0.49706,0.861076,0.135468,22.1
9,0.000311,0.250039,0.499056,0.250026,0.49937,0.462986,0.535511,22.1
10,0.0001,0.250025,0.499985,0.250025,0.4999,0.701965,0.299181,22.0
11,0.002,0.250112,0.500158,0.250107,0.50189,0.490157,0.513545,22.0
12,0.001789,0.25011,0.500745,0.250045,0.49841,0.795758,0.203042,21.9
13,0.001578,0.250064,0.498668,0.250059,0.50122,0.021151,0.978093,22.1
14,0.001367,0.250049,0.499584,0.250045,0.50097,0.348243,0.65268,21.9
15,0.001156,0.250058,0.499225,0.250047,0.49864,0.856059,0.1436,22.1
16,0.000944,0.250031,0.500449,0.250028,0.49833,1.0,0.0,22.0
17,0.000733,0.25002,0.500026,0.250012,0.49833,1.0,0.0,21.8
18,0.000522,0.250011,0.500123,0.250065,0.50281,0.303273,0.701019,22.0
19,0.000311,0.250008,0.49905,0.250007,0.49833,1.0,0.0,22.0
20,0.0001,0.250004,0.500053,0.250004,0.49833,1.0,0.0,22.9
