epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.251346,0.499692,0.250826,0.50028,0.337217,0.664141,23.1
2,0.001789,0.25066,0.500648,0.250548,0.49927,0.794402,0.202695,23.9
3,0.001578,0.250378,0.499369,0.250241,0.50179,0.777563,0.224668,23.8
4,0.001367,0.250215,0.501083,0.250153,0.5011,0.934181,0.065901,23.9
5,0.001156,0.250125,0.500366,0.250136,0.49738,0.107777,0.888889,23.3
6,0.000944,0.250099,0.500978,0.250165,0.50108,0.988328,0.011448,23.5
7,0.000733,0.250096,0.500418,0.250113,0.50074,0.959539,0.039697,25.0
8,0.000522,0.250095,0.500503,0.250066,0.5017,0.121583,0.883676,24.8
9,0.000311,0.250074,0.499575,0.250081,0.49712,0.220861,0.77473,24.6
10,0.0001,0.25005,0.50207,0.25005,0.50171,0.608675,0.394222,23.9
11,0.002,0.250169,0.500015,0.250084,0.50229,0.314153,0.691347,23.6
12,0.001789,0.250103,0.499903,0.250054,0.50122,1.0,0.0,23.4
13,0.001578,0.250057,0.499947,0.250087,0.50067,0.257791,0.744737,23.5
14,0.001367,0.250054,0.500248,0.250062,0.49874,0.619887,0.377,23.6
15,0.001156,0.250039,0.499421,0.250023,0.49878,0.0,1.0,24.1
16,0.000944,0.250023,0.500004,0.250022,0.49878,0.0,1.0,23.8
17,0.000733,0.250018,0.499601,0.250016,0.49851,0.104186,0.894763,23.1
18,0.000522,0.250016,0.500289,0.250008,0.50048,0.092774,0.910181,23.1
19,0.000311,0.250012,0.500401,0.250015,0.50123,1.0,2e-05,23.1
20,0.0001,0.250012,0.50053,0.250014,0.49729,0.396493,0.598581,23.4
