epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.251207,0.500607,0.250816,0.49827,0.184484,0.8132,24.0
2,0.001789,0.25062,0.499918,0.250418,0.50135,0.627099,0.375143,23.4
3,0.001578,0.250317,0.499574,0.250243,0.49925,0.918329,0.078643,23.8
4,0.001367,0.250178,0.500205,0.250125,0.50069,0.986105,0.013505,23.4
5,0.001156,0.250102,0.500847,0.250113,0.49892,0.459903,0.538079,23.3
6,0.000944,0.250093,0.499869,0.25007,0.4978,0.298217,0.698111,23.4
7,0.000733,0.250068,0.50018,0.250148,0.50091,1.0,0.0,23.2
8,0.000522,0.250059,0.500685,0.250254,0.50035,0.992574,0.006332,23.9
9,0.000311,0.250046,0.501164,0.250063,0.49826,0.112276,0.885652,24.1
10,0.0001,0.250025,0.503013,0.250142,0.49806,0.499471,0.496644,24.3
11,0.002,0.250141,0.500819,0.250087,0.50094,0.999681,0.000381,24.7
12,0.001789,0.250117,0.500789,0.250064,0.49997,0.099938,0.901461,26.6
13,0.001578,0.250064,0.499174,0.250047,0.49862,0.215388,0.782885,24.7
14,0.001367,0.250071,0.500047,0.250053,0.50077,0.893594,0.106514,23.3
15,0.001156,0.250043,0.499671,0.25003,0.50091,1.0,0.0,23.4
16,0.000944,0.250032,0.49932,0.250056,0.50094,0.9998,0.00026,23.9
17,0.000733,0.250041,0.500564,0.250064,0.49854,0.665269,0.331203,23.9
18,0.000522,0.250027,0.499784,0.250024,0.49812,0.335789,0.661043,24.4
19,0.000311,0.250014,0.500298,0.250016,0.49909,0.0,1.0,24.9
20,0.0001,0.250011,0.500007,0.250013,0.49862,0.833224,0.162796,23.9
