epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.25116,0.500441,0.250741,0.5027,0.796354,0.208776,22.2
2,0.001789,0.250585,0.499807,0.250474,0.49958,0.900326,0.098465,22.1
3,0.001578,0.250323,0.500459,0.25022,0.50062,0.165144,0.836405,22.3
4,0.001367,0.250205,0.500335,0.250221,0.50023,1.0,0.0,22.0
5,0.001156,0.250162,0.500981,0.250131,0.49845,0.771005,0.225644,22.0
6,0.000944,0.250153,0.499679,0.250107,0.50007,0.208504,0.791904,22.1
7,0.000733,0.250104,0.500457,0.250073,0.49831,0.270196,0.726634,22.0
8,0.000522,0.25009,0.500914,0.250075,0.49992,0.001779,0.998519,22.1
9,0.000311,0.250071,0.500726,0.250057,0.50033,0.925334,0.074934,22.1
10,0.0001,0.250055,0.500589,0.250055,0.49611,0.43576,0.556516,22.0
11,0.002,0.250153,0.50036,0.250085,0.49924,0.840273,0.157893,22.3
12,0.001789,0.250141,0.50052,0.250169,0.49959,0.166403,0.833083,22.5
13,0.001578,0.250097,0.499254,0.250133,0.50165,0.834676,0.168317,22.4
14,0.001367,0.250074,0.500502,0.250103,0.49864,0.194331,0.803229,22.2
15,0.001156,0.250055,0.500182,0.250139,0.49826,0.269536,0.727195,22.1
16,0.000944,0.250063,0.499559,0.25005,0.50162,0.517802,0.485423,22.2
17,0.000733,0.250046,0.499871,0.250019,0.49977,0.0,1.0,22.1
18,0.000522,0.250036,0.499355,0.250018,0.49977,0.00038,0.99962,22.1
19,0.000311,0.250028,0.499957,0.250028,0.50104,0.885313,0.116414,22.7
20,0.0001,0.25002,0.500315,0.250018,0.5012,0.845071,0.157012,22.2
