epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.25127,0.499961,0.250892,0.49959,0.576822,0.422101,23.3
2,0.001789,0.250649,0.501064,0.250411,0.50074,0.743047,0.257628,23.1
3,0.001578,0.250387,0.500458,0.250359,0.50001,0.713396,0.285915,23.2
4,0.001367,0.250236,0.501198,0.250556,0.49954,0.095981,0.904441,23.2
5,0.001156,0.250167,0.500601,0.250099,0.49903,0.380648,0.617806,23.1
6,0.000944,0.250125,0.50067,0.250146,0.49917,0.0,1.0,23.1
7,0.000733,0.25011,0.50048,0.250076,0.49934,0.031148,0.969089,23.6
8,0.000522,0.250098,0.500788,0.250084,0.50113,0.368888,0.633812,23.5
9,0.000311,0.25008,0.500157,0.250074,0.50026,0.533974,0.466434,24.8
10,0.0001,0.250063,0.501648,0.250091,0.49864,0.498153,0.499129,24.4
11,0.002,0.250201,0.499469,0.250569,0.50303,0.607052,0.398662,23.3
12,0.001789,0.250205,0.499957,0.250131,0.49938,0.013398,0.986978,23.2
13,0.001578,0.250164,0.49946,0.25019,0.50119,0.252601,0.750606,23.5
14,0.001367,0.250131,0.499848,0.250084,0.50053,0.730447,0.269848,23.5
15,0.001156,0.250073,0.499809,0.25008,0.50083,1.0,0.0,23.2
16,0.000944,0.250057,0.499233,0.250103,0.49875,0.320987,0.677104,23.6
17,0.000733,0.250053,0.500034,0.250058,0.49916,0.000439,0.999539,23.3
18,0.000522,0.250038,0.500401,0.250029,0.49974,0.073977,0.926919,23.4
19,0.000311,0.250025,0.500541,0.250018,0.50091,0.796757,0.204079,23.1
20,0.0001,0.250015,0.502397,0.250019,0.49954,0.585967,0.412825,23.7
