epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.251103,0.499997,0.250876,0.49895,0.669099,0.327709,25.0
2,0.001789,0.25054,0.500313,0.250359,0.49867,0.158154,0.841372,24.7
3,0.001578,0.250295,0.500418,0.250233,0.50123,0.936164,0.063503,23.2
4,0.001367,0.250197,0.500162,0.250172,0.49853,0.119617,0.879876,23.2
5,0.001156,0.250141,0.500764,0.250075,0.50283,0.838278,0.165229,23.5
6,0.000944,0.250107,0.500168,0.250055,0.50232,0.864833,0.13748,23.4
7,0.000733,0.250083,0.500977,0.250085,0.50028,0.254446,0.747693,23.6
8,0.000522,0.25007,0.499958,0.250058,0.49979,0.236563,0.764707,23.2
9,0.000311,0.250056,0.500322,0.25006,0.4976,0.236842,0.760032,23.2
10,0.0001,0.250041,0.500734,0.250035,0.50136,0.506738,0.495947,23.3
11,0.002,0.250091,0.499266,0.250058,0.4984,0.0,1.0,23.1
12,0.001789,0.250092,0.500832,0.250206,0.49867,0.074442,0.925622,23.8
13,0.001578,0.250084,0.500213,0.250074,0.49938,0.292723,0.707364,23.2
14,0.001367,0.250067,0.49925,0.250078,0.50056,0.513816,0.487219,24.2
15,0.001156,0.250046,0.499927,0.250036,0.4984,0.0,1.0,23.5
16,0.000944,0.250033,0.500575,0.250017,0.5016,1.0,0.0,23.2
17,0.000733,0.250014,0.499906,0.250011,0.50158,0.99992,4e-05,23.4
18,0.000522,0.250006,0.50028,0.250001,0.5016,1.0,0.0,23.2
19,0.000311,0.250009,0.500333,0.25002,0.49865,0.490251,0.507103,24.2
20,0.0001,0.250012,0.500657,0.250011,0.50035,0.355901,0.645726,23.7
