epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.251293,0.50008,0.250839,0.49916,0.533499,0.464572,21.3
2,0.001789,0.250692,0.500223,0.250493,0.50029,0.833978,0.164191,21.0
3,0.001578,0.250395,0.500519,0.250233,0.50265,0.887485,0.115034,21.2
4,0.001367,0.250219,0.50003,0.250202,0.49867,0.125149,0.87489,21.0
5,0.001156,0.250145,0.500378,0.250127,0.49817,0.000917,0.999016,20.9
6,0.000944,0.250098,0.500222,0.250097,0.4996,0.070327,0.931975,21.5
7,0.000733,0.250078,0.499269,0.250077,0.4997,0.81393,0.1832,21.0
8,0.000522,0.25006,0.500868,0.250051,0.50131,0.94442,0.054998,21.0
9,0.000311,0.250043,0.500571,0.250071,0.49898,0.571403,0.426034,21.2
10,0.0001,0.250025,0.502008,0.250031,0.49827,0.355122,0.642453,20.9
11,0.002,0.250166,0.499317,0.250072,0.49664,0.073236,0.923103,21.7
12,0.001789,0.250129,0.499961,0.250734,0.4982,0.0,1.0,21.0
13,0.001578,0.250088,0.500048,0.250101,0.49757,0.439637,0.555921,20.9
14,0.001367,0.250062,0.499883,0.250054,0.4982,0.0,1.0,20.9
15,0.001156,0.250048,0.500545,0.250028,0.50043,0.95,0.047611,21.0
16,0.000944,0.250022,0.500894,0.250019,0.50089,0.192746,0.811261,20.9
17,0.000733,0.250017,0.499811,0.250038,0.4982,0.0,1.0,20.9
18,0.000522,0.250015,0.499876,0.250005,0.50306,0.949422,0.053473,21.3
19,0.000311,0.250008,0.500182,0.250014,0.49739,0.126186,0.871277,20.9
20,0.0001,0.250005,0.500715,0.250006,0.49757,0.057752,0.940566,21.0
