config,rounds,mode,N_train,N_val,N_test,best_epoch,test_acc,test_tpr,test_tnr,best_val_loss,train_time_sec
2bytes_14_15,1,zhang,10000000,1000000,1000000,10,0.999989,1.0,0.999978,0.000212,10951.0
1byte_15,1,zhang,10000000,1000000,1000000,10,0.998047,1.0,0.99609,0.002181,11131.3
