epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr
1,0.002,0.253667,0.499525,0.252655,0.49986,0.177347,0.82395
2,0.001789,0.25177,0.500321,0.251269,0.50204,0.465464,0.538795
3,0.001578,0.250809,0.499984,0.250481,0.50287,0.648957,0.356069
4,0.001367,0.250413,0.499772,0.250366,0.49904,0.172639,0.827038
5,0.001156,0.250258,0.500222,0.250214,0.50056,0.684131,0.316091
6,0.000944,0.250176,0.500176,0.250166,0.50103,0.809784,0.190765
7,0.000733,0.250146,0.500604,0.250137,0.49909,0.142732,0.857192
8,0.000522,0.250115,0.500137,0.250092,0.50136,0.77052,0.230883
9,0.000311,0.250088,0.501765,0.250098,0.49929,0.318782,0.680681
10,0.0001,0.250074,0.502208,0.250085,0.50073,0.403076,0.598861
